Model,Threshold,Accuracy,Precision,Recall,F1,ROC_AUC,TN,FP,FN,TP
K-Nearest Neighbors,0.5,1.0,1.0,1.0,1.0,1.0,485,0,0,235
Random Forest,0.5,0.8930555555555556,0.7705479452054794,0.9574468085106383,0.8538899430740038,0.971195437595964,418,67,10,225
Decision Tree,0.5,0.7902777777777777,0.6381578947368421,0.825531914893617,0.7198515769944341,0.8815529721430138,375,110,41,194
Logistic Regression,0.5,0.7875,0.6366666666666667,0.8127659574468085,0.7140186915887851,0.8733318710243474,376,109,44,191
Gaussian Naive Bayes,0.5,0.7708333333333334,0.6966292134831461,0.5276595744680851,0.6004842615012107,0.8607062952401842,431,54,111,124
